title,make,model,year,condition,transmission,price
Lexus RX 350 FWD 2013 White,Lexus,RX,,foreign used,automatic,"₦ 25,500,000"
Lexus RX 300 2003 Green,Lexus,RX,,local used,automatic,"₦ 4,400,000"
Volkswagen Tiguan S 4Motion 2010 White,Volkswagen,Tiguan,,local used,automatic,"₦ 7,300,000"
Toyota Hilux 2020 White,Toyota,Hilux,2020,foreign used,automatic,"₦ 66,000,000"
Toyota Camry LE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Gray,Toyota,Camry,,foreign used,automatic,"₦ 8,600,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 Red,,,,foreign used,automatic,"₦ 24,000,000"
Honda Accord Crosstour 2012 White,Honda,Accord,,local used,automatic,"₦ 6,700,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,,,,local used,automatic,"₦ 33,000,000"
Toyota Sienna LE 4WD 2007 Gold,Toyota,Sienna,,foreign used,automatic,"₦ 9,150,000"
Lexus RX 350 2010 Silver,Lexus,RX,,local used,automatic,"₦ 16,800,000"
Toyota Hilux 2019 Gray,Toyota,Hilux,2019,local used,automatic,"₦ 55,000,000"
Hyundai Grandeur 2020,Hyundai,Grandeur,2020,foreign used,automatic,"₦ 57,000,000"
Honda Accord 2007 Gold,Honda,Accord,2007,local used,automatic,"₦ 3,680,000"
Toyota Sienna LE Mobility FWD 2019 Silver,Toyota,Sienna,,foreign used,automatic,"₦ 17,500,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,,,,foreign used,automatic,"₦ 38,800,000"
Volkswagen Jetta SE 2011 Brown,Volkswagen,Jetta,,local used,automatic,"₦ 6,000,000"
Toyota Sienna 2014 Brown,Toyota,Sienna,2014,foreign used,automatic,"₦ 17,400,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 White,Toyota,Camry,,local used,automatic,"₦ 10,999,999"
Toyota Yaris Base Hatchback 5dr 2010 Blue,Toyota,Yaris,,foreign used,manual,"₦ 6,000,000"
Hyundai Sonata Base w/2.7L V6 2003 Silver,Hyundai,Sonata,,local used,automatic,"₦ 4,000,000"
Ford Escape Limited 2004 Gray,Ford,Escape,,local used,automatic,"₦ 4,000,000"
Toyota Land Cruiser Prado 2012 Black,Toyota,Land,,local used,automatic,"₦ 29,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2012 Blue,Toyota,Camry,,foreign used,automatic,"₦ 15,598,828"
Hyundai Santa Fe 2018 Gray,Hyundai,Santa,,foreign used,automatic,"₦ 26,578,125"
Honda Pilot 2009 Maroon,Honda,Pilot,2009,local used,automatic,"₦ 7,200,000"
Toyota Sienna 2016 Gray,Toyota,Sienna,2016,foreign used,automatic,"₦ 19,500,000"
Toyota RAV4 2015 Maroon,Toyota,RAV4,2015,foreign used,automatic,"₦ 16,500,000"
Lexus ES 350 FWD 2014 Black,Lexus,ES,,local used,automatic,"₦ 15,500,000"
Lexus ES 350 FWD 2014 Black,Lexus,ES,,foreign used,automatic,"₦ 20,250,000"
Hyundai Elantra 2013 White,Hyundai,Elantra,2013,foreign used,automatic,"₦ 10,000,000"
BMW X5 2015 White,BMW,X5,2015,foreign used,automatic,"₦ 28,500,000"
Ford Focus Titanium 4dr Hatchback (2.0L 4cyl 6AM) 2014 Black,Ford,Focus,,foreign used,automatic,"₦ 12,000,000"
Toyota Camry 2014 White,Toyota,Camry,2014,local used,automatic,"₦ 9,500,000"
Toyota Camry 2001 Gold,Toyota,Camry,2001,local used,automatic,"₦ 3,250,000"
Honda Pilot 2009 Black,Honda,Pilot,2009,local used,automatic,"₦ 6,000,000"
Mercedes-Benz M Class ML 350 4Matic 2012 Gray,,,,foreign used,automatic,"₦ 21,000,000"
Mazda 6 2003 Silver,Mazda,6,2003,local used,automatic,"₦ 3,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 4A) 2004 Gold,Toyota,Camry,,local used,automatic,"₦ 3,400,000"
Toyota Sienna 1999 Gray,Toyota,Sienna,1999,local used,automatic,"₦ 2,900,000"
Honda Civic 2017 Black,Honda,Civic,2017,foreign used,automatic,"₦ 20,000,000"
Honda Odyssey 1998 Red,Honda,Odyssey,1998,local used,automatic,"₦ 2,800,000"
Toyota Camry SE Sport 4dr Sedan (2.5L 4cyl 6A) 2014 Red,Toyota,Camry,,foreign used,automatic,"₦ 13,800,000"
Toyota Solara 2009 Black,Toyota,Solara,2009,local used,automatic,"₦ 3,800,000"
Toyota Camry XLE V6 4dr Sedan (3.0L 6cyl 5A) 2004 Silver,Toyota,Camry,,local used,automatic,"₦ 5,200,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Gray,,,,foreign used,automatic,"₦ 58,500,000"
Lexus ES 350 2008 Gray,Lexus,ES,,local used,automatic,"₦ 7,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014 Gray,,,,foreign used,automatic,"₦ 25,000,000"
Toyota Corolla 2006 Silver,Toyota,Corolla,2006,local used,automatic,"₦ 5,000,000"
Toyota Venza V6 AWD 2010 White,Toyota,Venza,,local used,automatic,"₦ 12,000,000"
Lexus IS 2007 Silver,Lexus,IS,2007,foreign used,automatic,"₦ 12,500,000"
Hyundai Elantra 2009 Blue,Hyundai,Elantra,2009,local used,automatic,"₦ 5,800,000"
Toyota Camry 2010 Silver,Toyota,Camry,2010,foreign used,automatic,"₦ 10,980,000"
Lexus RX 350 AWD 2017 Black,Lexus,RX,,foreign used,automatic,"₦ 53,500,000"
Mitsubishi Outlander 2007 Blue,Mitsubishi,Outlander,2007,local used,automatic,"₦ 4,999,999"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2005 Burgundy,Toyota,Camry,,local used,automatic,"₦ 5,000,000"
Lexus ES 350 2010 Black,Lexus,ES,,local used,automatic,"₦ 8,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,,,,local used,automatic,"₦ 13,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 White,,,,foreign used,automatic,"₦ 25,000,000"
BMW 335i 2007 Blue,BMW,335i,2007,local used,automatic,"₦ 5,500,000"
Lexus RX 330 2004 Black,Lexus,RX,,local used,automatic,"₦ 5,600,000"
Toyota Venza V6 AWD 2011 Black,Toyota,Venza,,local used,automatic,"₦ 12,000,000"
Toyota Camry 2.4 XLE 2008 Gray,Toyota,Camry,,local used,automatic,"₦ 4,700,000"
Toyota RAV4 LE AWD (2.5L 4cyl 6A) 2016 Gray,Toyota,RAV4,,local used,automatic,"₦ 23,000,000"
Lexus RX 350 2017 White,Lexus,RX,,foreign used,automatic,"₦ 45,900,000"
Lexus RX 300 4WD 2002 Black,Lexus,RX,,local used,automatic,"₦ 3,800,000"
Toyota Venza XLE AWD V6 2013 Silver,Toyota,Venza,,local used,automatic,"₦ 10,000,000"
Mazda Demio 2006 Blue,Mazda,Demio,2006,local used,manual,"₦ 4,300,000"
Toyota Sienna LE 2002 Gold,Toyota,Sienna,,local used,automatic,"₦ 6,800,000"
Honda Accord 2.4 EX 2008 Gold,Honda,Accord,,local used,automatic,"₦ 5,000,000"
Lexus ES 2014 White,Lexus,ES,2014,foreign used,automatic,"₦ 18,700,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2011 Gray,Toyota,Camry,,local used,automatic,"₦ 7,350,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2011 Gray,Toyota,Corolla,,foreign used,automatic,"₦ 11,600,000"
Honda Accord 1999 Green,Honda,Accord,1999,local used,automatic,"₦ 2,100,000"
Lexus RX 350 2009 Burgundy,Lexus,RX,,foreign used,automatic,"₦ 15,000,000"
Kia Rio 2012 Gray,Kia,Rio,2012,local used,automatic,"₦ 5,500,000"
Toyota Venza V6 2012 Silver,Toyota,Venza,,foreign used,automatic,"₦ 22,500,000"
Toyota Highlander Limited 2012 Silver,Toyota,Highlander,,foreign used,automatic,"₦ 19,500,000"
Toyota Highlander 2012 Gold,Toyota,Highlander,2012,foreign used,automatic,"₦ 19,500,000"
Lexus RX 330 2005 Silver,Lexus,RX,,foreign used,automatic,"₦ 13,500,000"
Toyota Highlander 2008 Red,Toyota,Highlander,2008,foreign used,automatic,"₦ 16,500,000"
Toyota Camry LE 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A) 2014 Blue,Toyota,Camry,,foreign used,automatic,"₦ 14,900,000"
Toyota Camry 2019 Blue,Toyota,Camry,2019,foreign used,automatic,"₦ 34,500,000"
Honda Accord Sedan EX Automatic 2006 Gray,Honda,Accord,,local used,automatic,"₦ 3,750,000"
Lexus GX 460 AWD 2023 Silver,Lexus,GX,,foreign used,automatic,"₦ 127,000,000"
Toyota Highlander 2013 Black,Toyota,Highlander,2013,local used,automatic,"₦ 11,300,000"
Lexus RX 350 2011 Gray,Lexus,RX,,foreign used,automatic,"₦ 20,500,000"
Honda Accord 2007 Silver,Honda,Accord,2007,local used,automatic,"₦ 3,800,000"
Honda Accord 2003 Black,Honda,Accord,2003,local used,automatic,"₦ 1,800,000"
Lexus LX 570 2010 Black,Lexus,LX,,local used,automatic,"₦ 36,000,000"
Toyota Camry 2018 White,Toyota,Camry,2018,local used,automatic,"₦ 18,200,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2017 Silver,Toyota,Camry,,foreign used,automatic,"₦ 15,800,000"
New Toyota Corolla 2024 Off white,New,Toyota,,new,automatic,"₦ 44,500,000"
Toyota RAV4 XLE Premium 2025 Red,Toyota,RAV4,,foreign used,automatic,"₦ 52,000,000"
Toyota Camry 2008 Gray,Toyota,Camry,2008,local used,automatic,"₦ 7,000,000"
Toyota RAV4 XLE AWD (2.5L 4cyl 6A) 2016 Black,Toyota,RAV4,,foreign used,automatic,"₦ 25,500,000"
Volkswagen Sharan 2004 Red,Volkswagen,Sharan,2004,foreign used,manual,"₦ 6,600,000"
Toyota Venza V6 2010 Blue,Toyota,Venza,,foreign used,automatic,"₦ 10,500,000"
Nissan Murano SL AWD 2016 Green,Nissan,Murano,,foreign used,automatic,"₦ 17,000,000"
New Geely EX5 2024 Black,New,Geely,,new,automatic,"₦ 69,950,500"
Toyota Corolla LE 2004 Black,Toyota,Corolla,,local used,automatic,"₦ 4,950,000"
Mercedes-Benz C300 2015 Teal,,,,local used,automatic,"₦ 17,718,750"
Toyota Sienna 2008 Black,Toyota,Sienna,2008,local used,automatic,"₦ 7,000,000"
Peugeot 407 2007 Blue,Peugeot,407,2007,local used,automatic,"₦ 2,900,000"
Toyota Corolla 2009 Red,Toyota,Corolla,2009,local used,automatic,"₦ 6,800,000"
Mercedes-Benz C300 2010 White,,,,local used,automatic,"₦ 8,700,000"
Toyota Highlander 2021 Black,Toyota,Highlander,2021,foreign used,automatic,"₦ 73,500,000"
Hyundai Elantra 2014 Blue,Hyundai,Elantra,2014,local used,automatic,"₦ 7,700,000"
Lexus ES 350 2011 White,Lexus,ES,,foreign used,automatic,"₦ 14,100,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2015 Black,,,,foreign used,automatic,"₦ 21,500,000"
Toyota Corolla 2005 Red,Toyota,Corolla,2005,local used,automatic,"₦ 5,400,000"
Toyota Camry 2008 Gold,Toyota,Camry,2008,local used,automatic,"₦ 5,500,000"
Toyota Highlander Platinum 2021 Blue,Toyota,Highlander,,foreign used,automatic,"₦ 79,000,000"
Lexus RX 330 2006 Black,Lexus,RX,,local used,automatic,"₦ 8,000,000"
