title,make,model,year,condition,transmission,price
Lexus RX 2004 Gray,Lexus,RX,2004,local used,automatic,"₦ 9,800,000"
Ford Edge 2011 Red,Ford,Edge,2011,local used,automatic,"₦ 7,000,000"
Toyota Matrix S Hatchback AWD (2.4L 4cyl 4A) 2011 Blue,Toyota,Matrix S,2011,foreign used,automatic,"₦ 9,700,000"
Toyota Venza V6 2009 Gray,Toyota,Venza V6,2009,local used,automatic,"₦ 10,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry LE,2015,foreign used,automatic,"₦ 15,500,000"
New Lexus LX 2024 Black,New,Lexus LX,2024,new,automatic,"₦ 305,000,000"
Mercedes-Benz GLE-Class GLE 350 2015 White,Mercedes-Benz,GLE-Class GLE,2015,local used,automatic,"₦ 23,000,000"
Mercedes-Benz G-Class G 63 AMG 2022 Black,Mercedes-Benz,G-Class G,2022,foreign used,automatic,"₦ 380,000,000"
Toyota Land Cruiser 4.6 V8 GX-R 2013 Black,Toyota,Land Cruiser,2013,local used,automatic,"₦ 74,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Black,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 81,000,000"
Lexus RX 330 4WD 2005 Blue,Lexus,RX 330,2005,local used,automatic,"₦ 8,000,000"
New Mercedes-Benz G-Class 2025 Black,New,Mercedes-Benz G-Class,2025,new,automatic,"₦ 600,000,000"
New Toyota Land Cruiser Prado 2024 Black,New,Toyota Land,2024,new,automatic,"₦ 150,000,000"
Toyota RAV4 2008 Silver,Toyota,RAV4,2008,foreign used,automatic,"₦ 13,000,000"
Toyota Sienna SE 8 Passenger (3.5L 6cyl 8A) 2017 White,Toyota,Sienna SE,2017,foreign used,automatic,"₦ 26,800,000"
Honda Accord Sport (2.0L 4cyl Turbo 6M) 2019 Silver,Honda,Accord Sport,2019,foreign used,automatic,"₦ 30,500,000"
Mercedes-Benz C300 2022 Black,Mercedes-Benz,C300,2022,foreign used,automatic,"₦ 100,000,000"
New Toyota Fortuner 2025 Black,New,Toyota Fortuner,2025,new,automatic,"₦ 87,000,000"
New Mercedes-Benz E53 AMG 2025 White,New,Mercedes-Benz E53,2025,new,automatic,"₦ 315,000,000"
Mercedes-Benz E43 AMG 3.0 AWD 2017 White,Mercedes-Benz,E43 AMG,2017,foreign used,automatic,"₦ 65,000,000"
New Mercedes-Benz CL 2025 White,New,Mercedes-Benz CL,2025,new,automatic,"₦ 310,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry XLE,2013,foreign used,automatic,"₦ 14,400,000"
Hyundai Sonata SE 2020 Gray,Hyundai,Sonata SE,2020,foreign used,automatic,"₦ 40,000,000"
Mercedes-Benz C300 2023 Gray,Mercedes-Benz,C300,2023,foreign used,automatic,"₦ 100,000,000"
Mercedes-Benz E400 2018 White,Mercedes-Benz,E400,2018,foreign used,automatic,"₦ 52,000,000"
Land Rover Discovery S 2022 Black,Land,Rover Discovery,2022,local used,automatic,"₦ 38,000,000"
Lexus LX 570 2009 Black,Lexus,LX 570,2009,local used,automatic,"₦ 26,500,000"
