title,make,model,year,condition,transmission,price
Toyota RAV4 3.5 Limited 2011 Silver,Toyota,RAV4 3,2011,foreign used,automatic,"₦ 16,800,000"
Toyota RAV4 2.5 Limited 4x4 2010 Black,Toyota,RAV4 2,2010,foreign used,automatic,"₦ 16,500,000"
Toyota Tundra 2012 Black,Toyota,Tundra,2012,local used,automatic,"₦ 24,200,000"
Lexus ES 350 2007 Black,Lexus,ES 350,2007,foreign used,automatic,"₦ 12,500,000"
Honda Accord 2013 Silver,Honda,Accord,2013,foreign used,automatic,"₦ 14,000,000"
Hyundai Sonata Limited 4dr Sedan (2.4L 4cyl 6A) 2014 Black,Hyundai,Sonata Limited,2014,foreign used,automatic,"₦ 12,500,000"
Toyota Camry Automatic 1999 Gray,Toyota,Camry Automatic,1999,local used,automatic,"₦ 2,550,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Silver,Toyota,Camry SE,2009,local used,automatic,"₦ 6,000,000"
Honda Accord 2008 Red,Honda,Accord,2008,local used,automatic,"₦ 4,700,000"
Toyota Camry 2010 Gray,Toyota,Camry,2010,local used,automatic,"₦ 7,400,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2020 Black,Mercedes-Benz,G-Class G,2020,foreign used,automatic,"₦ 265,000,000"
Toyota Tundra Regular Cab 2006 Gray,Toyota,Tundra Regular,2006,local used,automatic,"₦ 4,700,000"
Audi A4 2013 Gray,Audi,A4,2013,foreign used,automatic,"₦ 13,000,000"
Toyota Hilux SR 4x4 2018 White,Toyota,Hilux SR,2018,foreign used,automatic,"₦ 60,000,000"
Mercedes-Benz C240 2.6 4MATIC AWD 2004 White,Mercedes-Benz,C240 2,2004,local used,automatic,"₦ 3,900,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2013 Silver,Acura,MDX SUV,2013,foreign used,automatic,"₦ 13,400,000"
Toyota Corolla 2018 White,Toyota,Corolla,2018,local used,automatic,"₦ 22,781,250"
Honda CR-V 2008 Blue,Honda,CR-V,2008,local used,automatic,"₦ 6,500,000"
Toyota Sienna XLE FWD 8-Passenger 2013 Gold,Toyota,Sienna XLE,2013,foreign used,automatic,"₦ 15,400,000"
Toyota RAV4 XLE 4dr SUV (2.5L 4cyl 6A) 2014 Gray,Toyota,RAV4 XLE,2014,local used,automatic,"₦ 14,000,000"
Toyota Corolla 2004 Blue,Toyota,Corolla,2004,local used,automatic,"₦ 4,900,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Black,Toyota,Corolla LE,2013,foreign used,automatic,"₦ 12,800,000"
Lexus RX 350 2013 Brown,Lexus,RX 350,2013,local used,automatic,"₦ 27,843,750"
Lexus ES 350 2012 Black,Lexus,ES 350,2012,local used,automatic,"₦ 9,900,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Silver,Toyota,Camry SE,2009,local used,automatic,"₦ 6,900,000"
Mercedes-Benz C400 4Matic AWD Sedan (3.0L V6 7A) 2015 Black,Mercedes-Benz,C400 4Matic,2015,foreign used,automatic,"₦ 37,500,000"
Toyota Camry XLE FWD (2.5L 4cyl 8AM) 2018 Silver,Toyota,Camry XLE,2018,foreign used,automatic,"₦ 30,000,000"
Lexus IS 250 2010 Red,Lexus,IS 250,2010,foreign used,automatic,"₦ 15,500,000"
Toyota Corolla 2012 Red,Toyota,Corolla,2012,foreign used,automatic,"₦ 11,800,000"
